"cas_number","dtxsid","preferred_name","mw_g_mol"
"65109-69-5","DTXSID90793898","S-Ethyl N-(2-hydroxypropyl)-N-propylcarbamothioate",205.32
"13194-48-4","DTXSID4032611","Ethoprop",242.33
"153233-91-1","DTXSID8034586","Etoxazole",359.417
"131807-57-3","DTXSID8034588","Famoxadone",374.396
"22224-92-6","DTXSID3024102","Fenamiphos",303.36
"31972-44-8","DTXSID3037547","Fenamiphos sulfone",335.35
"31972-43-7","DTXSID8037548","Fenamiphos sulfoxide",319.36
"13356-08-6","DTXSID7032391","Fenbutatin oxide",1052.703
"668-34-8","DTXSID9058153","Fentin",350.027
"120068-37-3","DTXSID4034609","Fipronil",437.14
"120067-83-6","DTXSID50869644","Fipronil sulfide",421.14
"209248-72-6","DTXSID90904684","5-Amino-3-cyano-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-1H-pyrazole-4-sulfonic acid",401.14
"120068-36-2","DTXSID6074750","Fipronil sulfone",453.14
"272451-65-7","DTXSID4047672","Flubendiamide",682.39
"98967-40-9","DTXSID4032615","Flumetsulam",325.29
"2164-17-2","DTXSID8020628","Fluometuron",232.206
"944-22-9","DTXSID2024113","Fonofos",246.32
"100784-20-1","DTXSID9034650","Halosulfuron-methyl",434.81
"51235-04-2","DTXSID4024145","Hexazinone",252.318
"72585-88-7","DTXSID8037621","3-(4-Hydroxycyclohexyl)-1-methyl-6-(methylamino)-1,3,5-triazine-2,4(1H,3H)-dione",254.29
"30243-77-7","DTXSID3037622","1-Cyclohexyl-3-methyl-1,3,5-triazine-2,4,6(1H,3H,5H)-trione",225.248
"72576-14-8","DTXSID8037623","1-(4-Hydroxycyclohexyl)-3-methyl-1,3,5-triazine-2,4,6(1H,3H,5H)-trione",241.247
"60090-47-3","DTXSID6073576","N-(Ethoxymethyl)-N-(2-ethyl-6-methylphenyl)-2-hydroxyacetamide",251.326
"56681-55-1","DTXSID70205242","Hydroxyalachlor",251.326
"29820-16-4","DTXSID50183958","O,O-Diethyl O-[2-(1-hydroxy-1-methylethyl)-6-methylpyrimidin-4-yl]phosphorothioate",320.34
"131068-72-9","DTXSID40927060","N-(2-Ethyl-6-methylphenyl)-2-hydroxy-N -(2-methoxy-1-methylethyl)-acetamide",265.353
"2599-11-3","DTXSID6062547","Hydroxysimazine",183.215
"59962-54-8","DTXSID00208680","N-[5-(1,1-Dimethylethyl)-1,3,4-thiadiazol-2-yl]-N′-(hydroxymethyl)-N-methylurea",244.31
"114311-32-9","DTXSID3034664","Imazamox",305.334
"81335-37-7","DTXSID3024152","Imazaquin",311.341
"81335-77-5","DTXSID3024287","Imazethapyr",289.335
"138261413",NA,NA,NA
"173584-44-6","DTXSID1032690","Indoxacarb",527.84
"141112-29-0","DTXSID5034723","Isoxaflutole",359.32
"142994-06-7","DTXSID30869925","2-Methylsulfonyl-4-trifluoromethylbenzoic acid",268.21
"143390-89-0","DTXSID2032558","Kresoxim-methyl",313.353
"77501-63-4","DTXSID7024160","Lactofen",461.77
"330-55-2","DTXSID2024163","Linuron",249.09
"1634-78-2","DTXSID9020790","Malaoxon",314.29
"94-74-6","DTXSID4024195","2-(4-Chloro-2-methylphenoxy)acetic acid",200.62
"57837-19-1","DTXSID6024175","Metalaxyl",279.336
"125116-23-6","DTXSID4034497","Metconazole",319.83
"10265-92-6","DTXSID6024177","Methamidophos",141.12
"950-37-8","DTXSID5020819","Methidathion",302.32
"16752-77-5","DTXSID1022267","Methomyl",162.21
"13749-94-5","DTXSID7027754","S-Methyl N-hydroxythioacetimidate",105.16
"161050-58-4","DTXSID3032628","Methoxyfenozide",368.477
"51218-45-2","DTXSID4022448","Metolachlor",283.8
"171118-09-5","DTXSID1037567","Metolachlor ESA",329.41
"61520-54-5","DTXSID60866861","4-(2-Ethyl-6-methylphenyl)-2-hydroxy-5-methyl-3-morpholinone",249.31
"152019-73-3","DTXSID6037568","Metolachlor OA",279.336
"21087-64-9","DTXSID6024204","Metribuzin",214.29
"35045-02-4","DTXSID0052839","Metribuzin-DA",199.27
"56507-37-0","DTXSID9037616","Diketometribuzin",184.199
"2212-67-1","DTXSID6024206","Molinate",187.3
"88671-89-0","DTXSID8024315","Myclobutanil",288.78
"3567-62-2","DTXSID3042180","N-(3,4-Dichlorophenyl)-N'-methylurea",219.07
"300-76-5","DTXSID1024209","Naled",380.78
"111991-09-4","DTXSID6034764","Nicosulfuron",410.41
"27314-13-2","DTXSID8024234","Norflurazon",303.67
"116714-46-6","DTXSID5034773","Novaluron",492.71
"76960-87-7","DTXSID1058474","O-ethyl O-methyl S-propylphosphorothioate (metabolite of ethoprop)",198.22
"76936-72-6","DTXSID701017843","O-ethyl S-methyl S-propyl phosphorodithioate",214.28
"31110-62-0","DTXSID4058360","O-Ethyl S-propyl phosphorothioic acid (Metabolite of ethoprop)",184.19
"213464-77-8","DTXSID4034788","Orthosulfamuron",424.43
"19044-88-3","DTXSID8024238","Oryzalin",346.36
"23135-22-0","DTXSID6021086","Oxamyl",219.26
"30558-43-1","DTXSID9029350","Oxamyl oxime",162.21
"42874-03-3","DTXSID7024241","Oxyfluorfen",361.7
"311-45-5","DTXSID6024046","Paraoxon",275.197
"950-35-6","DTXSID5037571","Methylparaoxon",247.143
"40487-42-1","DTXSID7024245","Pendimethalin",281.312
"298-02-2","DTXSID4032459","Phorate",260.36
"2600-69-3","DTXSID4037586","Phorate oxon",244.3
"2588-05-8","DTXSID6042284","Phorate oxon sulfoxide",260.3
"2588-06-9","DTXSID6058346","Phoratoxon sulfone",276.3
"2588-04-7","DTXSID6042282","Phorate sulfone",292.36
"2588-03-6","DTXSID1042283","Phorate sulfoxide",276.36
"51-03-6","DTXSID1021166","Piperonyl butoxide",338.444
"41198-08-7","DTXSID3032464","Profenofos",373.63
"1610-18-0","DTXSID6022341","Prometon",225.296
"7287-19-6","DTXSID4024272","Prometryn",241.36
"709-98-8","DTXSID8022111","N-(3,4-Dichlorophenyl)propanamide",218.08
"2312-35-8","DTXSID4024276","Propargite",350.47
"139-40-2","DTXSID3021196","2,4-Bis(isopropylamino)-6-chloro-1,3,5-triazine",229.71
"114-26-1","DTXSID7021948","Propoxur",209.245
