"cas_number","dtxsid","preferred_name","mw_g_mol"
"895155-57-4","DTXSID60468349","{1-[(Oxan-4-yl)methyl]-1H-indol-3-yl}(2,2,3,3-tetramethylcyclopropyl)methanone",339.479
"895155-25-6","DTXSID001017492","{1-[(1-methylpiperidin-2-yl)methyl]-1H-indol-3-yl}(2,2,3,3-tetramethylcyclopropyl)methanone",352.522
"1185887-21-1","DTXSID101009983","N-[(1S)-1-(Aminocarbonyl)-2-methylpropyl]-1-(cyclohexylmethyl)-1H-indazole-3-carboxamide",356.47
"1185282-01-2","DTXSID70728845","N-[(2S)-1-Amino-3-methyl-1-oxobutan-2-yl]-1-[(4-fluorophenyl)methyl]-1H-indazole-3-carboxamide",368.412
"1801338-26-0","DTXSID401016915","5-fluoro ABICA",347.434
"1445752-09-9","DTXSID00904034","N-[(1S)-1-(Aminocarbonyl)-2-methylpropyl]-1-pentyl-1H-indazole-3-carboxamide",330.432
"1801552-02-2","DTXSID001016737","N-((1S)-1-(Aminocarbonyl)-2-methylpropyl)-1-(5-chloropentyl)-1H-indazole-3-carboxamide",364.87
"1800101-60-3","DTXSID401009970","5-Fluoro-AB-PINACA",348.422
"1838134-16-9","DTXSID701347698","(R)-5-Fluoro-ABD",377.46
"1863065-92-2","DTXSID301016900","N-[1-(Aminocarbonyl)-2,2-dimethylpropyl]-1-(cyclohexylmethyl)-1H-indazole-3-carboxamide",370.497
"1445583-51-6","DTXSID701009981","ADB-FUBINACA",382.439
"1445583-48-1","DTXSID801009996","N-[1-(Aminocarbonyl)-2,2-dimethylpropyl]-1-pentyl-1H-indole-3-carboxamide",343.471
"1863065-82-0","DTXSID401130575","N-[1-(Aminocarbonyl)-2,2-dimethylpropyl]-1-(5-fluoropentyl)-1H-indole-3-carboxamide",361.461
"1633766-73-0","DTXSID301010007","N-[1-(Aminocarbonyl)-2,2-dimethylpropyl]-1-pentyl-1H-indazole-3-carboxamide",344.459
"1863065-90-0","DTXSID301016736","N-[1-(Aminocarbonyl)-2,2-dimethylpropyl]-1-(5-fluoropentyl)-1H-indazole-3-carboxamide",362.449
"1345973-53-6","DTXSID90928683","APINACA",365.521
"123020-20-2","DTXSID90559759","5-Bromo-7-iodo-1H-indole",321.943
"137642-54-7","DTXSID50433001","{1-[(1-Methylpiperidin-2-yl)methyl]-1H-indol-3-yl}(naphthalen-1-yl)methanone",382.507
"1348081-04-8","DTXSID701043056","[1-(1-Methyl-3-azepanyl)-1H-indol-3-yl](1-naphthyl)methanone",382.507
"335160-66-2","DTXSID101017326","1-((N-Methylpiperidin-2-yl)methyl)-3-(adamant-1-oyl)indole",390.571
"335161-24-5","DTXSID50187158","AM-2201",359.444
"335161-19-8","DTXSID90187157","AM-2232",352.437
"444912-75-8","DTXSID401014171","AM-2233",458.343
"335161-03-0","DTXSID30187156","[1-(5-Fluoropentyl)-1H-indol-3-yl](2-iodophenyl)methanone",435.281
"1801552-03-3","DTXSID501009985","5-Fluoro-AMB",363.433
"90-84-6","DTXSID6022929","Diethylpropion",205.301
"300-62-9","DTXSID4022600","Amphetamine",135.21
"1716-60-5","DTXSID30938009","1-(2-Fluorophenyl)propan-2-amine",153.2
"1626-71-7","DTXSID40936718","3-Fluoroamphetamine",153.2
"459-02-9","DTXSID90894758","4-Fluoroamphetamine",153.2
"1017176-48-5","DTXSID90640530","[1-(2-Fluorophenyl)propan-2-yl](methyl)amine",167.227
"5580-32-5","DTXSID30863569","2-Methylamphetamine",149.237
"1182818-14-9","DTXSID20728951","1-(3-Fluorophenyl)-N-methylpropan-2-amine",167.227
"588-06-7","DTXSID201017179","1-(3-methylphenyl)propan-2-amine",149.237
"351-03-1","DTXSID101043365","4-Fluoromethamphetamine",167.227
"22331-70-0","DTXSID30874251","4-Methoxy-N-methylamphetamine",179.263
"537-46-2","DTXSID8037128","Methamphetamine",149.237
"457-87-4","DTXSID10860359","N-Ethyl-1-phenylpropan-2-amine",163.264
"51799-32-7","DTXSID30966120","Propylamphetamine",177.291
"103-86-6","DTXSID3023134","(+/-)-4-Hydroxyamphetamine",151.209
"299-26-3","DTXSID00861850","1-(1H-Indol-3-yl)propan-2-amine",174.247
"286834-85-3","DTXSID401010105","6-(2-Aminopropyl)benzofuran",175.231
"1345973-50-3","DTXSID80745427","Apica",364.533
"1000340-62-4","DTXSID20646904","6-Methyl-1H-pyrrolo[2,3-b]pyridine-4-carbonitrile",157.176
"107447-03-0","DTXSID30910325","1-(3,4-Methylenedioxyphenyl)-2-butanamine",193.246
"2759-17-3","DTXSID601015763","1,3-Di(2,3-dihydro-1H-indol-7-yl)thiourea",310.42
"502759-67-3","DTXSID80893912","Bromodragonfly",294.148
"487-93-4","DTXSID0048894","Bufotenine",204.273
"298-45-3","DTXSID20183940","Bulbocapnine",325.364
"408332-79-6","DTXSID701014170","Buphedrone",177.247
"1336911-98-8","DTXSID60858024","2-(Methylamino)-1-(4-methylphenyl)butan-1-one--hydrogen chloride (1/1)",227.73
"17762-90-2","DTXSID101355976","1-(Benzo[d][1,3]dioxol-5-yl)-2-(methylamino)butan-1-one hydrochloride",257.71
"74219-29-7","DTXSID10653182","(+)-Cannabidiol",314.469
"521-35-7","DTXSID3048996","Cannabinol",310.437
"492-39-7","DTXSID50889347","Cathine",151.209
"71031-15-7","DTXSID0050427","(S)-(-)-Cathinone",149.193
"15351-09-4","DTXSID7057650","Metamfepramone",177.247
"51553-17-4","DTXSID10332526","2-(Ethylamino)propiophenone hydrochloride",213.71
"33342-65-3","DTXSID50451149","2-Chloro-5-methylthiazole",133.59
"6640-24-0","DTXSID9045138","1-(3-Chlorophenyl)piperazine",196.68
"1225843-86-6","DTXSID201014163","Clephedrone",197.66
"13364-32-4","DTXSID7048409","Clobenzorex",259.78
"33887-02-4","DTXSID301014166","Clonazolam",353.77
"50-36-2","DTXSID2038443","Cocaine",303.358
"76-57-3","DTXSID2020341","Codeine",299.37
"70434-82-1","DTXSID401009968","rel-5-(1,1-Dimethylheptyl)-2-[(1R,3S)-3-hydroxycyclohexyl]phenol",318.501
"70434-92-3","DTXSID101016885","Cannabicyclohexanol",332.528
"83003-12-7","DTXSID401017713","(+/-)-CP 55,940",376.581
"1400742-15-5","DTXSID001019036","Cumyl-PINACA",349.478
"40054-73-7","DTXSID901032639","Deschloroetizolam",308.4
"427-00-9","DTXSID10195390","Desomorphine",271.36
"519-74-4","DTXSID90897502","2-(Diphenylmethyl)piperidine",251.373
"61-51-8","DTXSID9052763","N,N-Diethyltryptamine",216.328
"802286-83-5","DTXSID201016921","Dibutylone",235.283
"2894-68-0","DTXSID30183138","2-Chlorodiazepam",319.19
"94-15-5","DTXSID40240185","Dimethocaine",278.396
"14780-24-6","DTXSID80163804","N,N-Diisopropyltryptamine",244.382
"132328-45-1","DTXSID50618836","3-{2-[Di(propan-2-yl)amino]ethyl}-1H-indol-4-ol",260.381
"120-26-3","DTXSID50902787","3,4-Dimethoxyamphetamine",195.262
"1081772-06-6","DTXSID701342931","3,4-Dimethylmethcathinone hydrochloride",227.73
"120-20-7","DTXSID8059506","Benzeneethanamine, 3,4-dimethoxy-",181.235
"61-50-7","DTXSID60110053","N,N-Dimethyltryptamine",188.274
"64638-07-9","DTXSID5050428","Brolamfetamine",274.158
"123431-31-2","DTXSID60894189","2,5-Dimethoxy-4-chloroamphetamine",229.7
"22004-32-6","DTXSID00860585","2,5-Dimethoxy-4-ethylamphetamine",223.316
"15588-95-1","DTXSID50860611","dl-2,5-Dimethoxy-4-methylamphetamine",209.289
"61-52-9","DTXSID30209847","N,N-Dipropyltryptamine",244.382
"1364933-60-7","DTXSID50745434","EAM 2201",387.498
"2219320-91-7","DTXSID001337258","1-Naphthalenyl(9-pentyl-9H-carbazol-3-yl)methanone",391.514
"299-42-3","DTXSID0022985","(1R,2S)-(-)-Ephedrine",165.236
"53214-57-6","DTXSID70858959","2-(Methylamino)-1-phenyl-1-propanol",165.236
"113-42-8","DTXSID00904978","Methylergonovine",339.439
"113-15-5","DTXSID9043774","Ergotamine",581.673
"2235-90-7","DTXSID1046764","alpha-Ethyltryptamine",188.274
"1112937-64-0","DTXSID20894842","2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one",221.256
"7550-06-3","DTXSID80996957","Ethyl phenyl(piperidin-1-yl)acetate",247.338
"1883284-94-3","DTXSID901016910","naphthalen-1-yl 1-[(4-fluorophenyl)methyl]-1H-indole-3-carboxylate",395.433
"1892-80-4|3736-08-1",NA,NA,NA
"2185863-15-2","DTXSID201016907","FUB-144",349.449
"1715016-76-4","DTXSID101009971","MMB-FUBINACA",383.423
"1984789-90-3","DTXSID601016923","FUBIMINA",360.432
"1800098-36-5","DTXSID601016909","8-Quinolinyl 1-[(4-fluorophenyl)methyl]-1H-indole-3-carboxylate",396.421
"1320-61-2","DTXSID10157296","4-Hydroxybutanoate",103.098
"304-21-2","DTXSID8041038","Harmaline",214.268
"442-51-3","DTXSID30196066","Harmine",212.252
"561-27-3","DTXSID6046761","3,6-Diacetylmorphine",369.417
"1445751-38-1","DTXSID901045446","4-Hydroxy-3,3,4-trimethyl-1-(1-pentyl-1H-indol-3-yl)-1-pentanone",329.484
"112830-95-2","DTXSID30150188","HU 210",386.576
"466-99-9","DTXSID8023133","Hydromorphone",285.343
"155471-10-6","DTXSID20165903","JWH 007",355.481
"155471-08-2","DTXSID60165902","JWH 015",327.427
"209414-07-3","DTXSID10175117","1-Pentyl-3-(1-naphthoyl)indole",341.454
"155471-13-9","DTXSID601016347","JWH-011",383.535
"1345973-49-0","DTXSID90158822","AB-001",349.518
"209414-08-4","DTXSID70175118","JWH 019",355.481
"209414-09-5","DTXSID801016343","JWH-020",369.508
"209414-16-4","DTXSID501016344","JWH-022",339.438
"208987-48-8","DTXSID20175042","1-Butyl-3-(1-naphthoyl) indole",327.427
"210179-46-7","DTXSID80175225","JWH 081",371.48
"619294-47-2","DTXSID00210965","JWH 122",355.481
"914458-20-1","DTXSID00658823","JWH 147",381.519
"824959-87-7","DTXSID80669851","(1-Propyl-1H-indol-3-yl)(4-propylnaphthalen-1-yl)methanone",355.481
"103610-04-4","DTXSID60145946","1-(2-(4-Morpholinyl)ethyl)-3-(1-naphthoyl) indole",384.479
"864445-47-6","DTXSID90658736","JWH 201",335.447
"864445-54-5","DTXSID00235557","JWH 203",339.86
"824959-81-1","DTXSID301010019","JWH 210",369.508
"864445-43-2","DTXSID40235556","JWH 250",335.447
"864445-39-6","DTXSID80235555","JWH 251",319.448
"864445-45-4","DTXSID60467554","JWH 302",335.447
"914458-26-7","DTXSID60581542","[5-(2-Fluorophenyl)-1-pentyl-1H-pyrrol-3-yl](naphthalen-1-yl)methanone",385.482
"914458-31-4","DTXSID60658824","[5-(3-Fluorophenyl)-1-pentyl-1H-pyrrol-3-yl](naphthalen-1-yl)methanone",385.482
"914458-22-3","DTXSID701016340","JWH-370",381.519
"1366067-59-5","DTXSID401010000","JWH-387",420.35
"1292765-18-4","DTXSID40156131","JWH 398",375.9
"1364933-59-4","DTXSID101010001","(4-Fluoronaphthalen-1-yl)(1-pentyl-1H-indol-3-yl)methanone",359.444
"1391485-39-4","DTXSID401344683","(4-Fluoro-1-naphthalenyl)[1-(5-fluoropentyl)-1H-indol-3-yl]methanone",377.435
"50-37-3","DTXSID1023231","Lysergide",323.44
"103818-46-8","DTXSID70894039","N-Methyl-1-(3,4-methylenedioxyphenyl)-2-butanamine",207.273
"62226-74-8","DTXSID90354100","1-Methyl-4-(phenylmethyl)piperazine",190.29
"4764-17-4","DTXSID40859958","(+/-)-3,4-(Methylenedioxy)amphetamine",179.219
"132741-81-2","DTXSID60157741","5,6-Methylenedioxy-2-aminoindan",177.203
"101625-35-8","DTXSID501017047","Methylenedioxyaminotetralin",191.23
"74698-50-3","DTXSID701024545","N,N-Dimethyl-3,4-methylenedioxyamphetamine",207.273
"765231-58-1","DTXSID801016917","Dimethylone",221.256
"82801-81-8","DTXSID70860971","3,4-Methylenedioxyethamphetamine",207.273
"42542-10-9","DTXSID90860791","(+/-)-N-Methyl-3,4-(methylenedioxy)amphetamine",193.246
"1185888-32-7","DTXSID001010034","Mdmb-chminaca",385.508
"1971007-93-8","DTXSID301355877","MDMB-FUBINACA",397.45
"784985-33-7","DTXSID101024630","3,4-Methylenedioxy-alpha-pyrrolidinobutyrophenone",261.321
"24698-57-5","DTXSID601350121","1-(1,3-Benzodioxol-5-yl)-2-(1-pyrrolidinyl)-1-propanone hydrochloride",283.75
"687603-66-3","DTXSID90897461","3,4-Methylenedioxy Pyrovalerone",275.348
"1225617-18-4","DTXSID001016901","4-Methylethcathinone",191.274
"58662-84-3","DTXSID10207366","Meclonazepam",329.74
"17243-57-1","DTXSID6057665","Mefenorex",211.73
"3413-64-7","DTXSID2045862","Mefexamide hydrochloride",316.83
"1137-04-8","DTXSID60893758","5-Methoxy-alpha-methyltryptamine",204.273
"928822-98-4","DTXSID30239169","N,N-Diallyl-5-methoxytryptamine",270.376
"4021-34-5","DTXSID00193209","5-Methoxy-N,N-diisopropyltryptamine",274.408
"1019-45-0","DTXSID70144324","O-Methylbufotenine",218.3
"3471-31-6","DTXSID70188268","5-Methoxyindoleacetic acid",205.213
"67292-68-6","DTXSID10217627","5-Methoxy-N,N,2-trimethyl-1H-indole-3-ethanamine",232.327
"1189805-46-6","DTXSID20891437","Mephedrone",177.247
"1313393-58-6","DTXSID701355912","4'-Methyl-alpha-pyrrolidinopropiophenone hydrochloride",253.77
"54-04-6","DTXSID80202303","Mescaline",211.261
"76-99-3","DTXSID7023273","(+/-)-Methadone",309.453
"5650-44-2","DTXSID30863589","(+/-)-Methcathinone",163.22
"1049677-77-1","DTXSID201017048","3-Fluoromethcathinone",181.21
"7589-35-7","DTXSID10705392","1-(4-Fluorophenyl)-2-(methylamino)propan-1-one hydrochloride",217.67
"530-54-1","DTXSID20862127","Methedrone",193.246
"801156-47-8","DTXSID701016914","Methiopropamine",155.26
"1239943-76-0","DTXSID301009327","Methoxetamine",247.338
"186028-79-5","DTXSID80870167","Methylone",207.229
"113-45-1","DTXSID5023299","Methylphenidate",233.311
"1616253-26-9","DTXSID001016913","N-[[1-(5-Fluoropentyl)-1H-indol-3-yl]carbonyl]valine methyl ester",362.445
"1971007-95-0","DTXSID701009993","MDMB-CHMICA",384.52
"1391484-80-2","DTXSID301010033","N-1-Naphthalenyl-1-pentyl-1H-indazole-3-carboxamide",357.457
"501926-82-5","DTXSID901023636","(N-((S)-Fenchyl)-1-(2-(morpholin-4-yl)ethyl)-7-methoxyindole-3-carboxamide",439.6
"57-27-2","DTXSID9023336","Morphine",285.343
"14116-06-4","DTXSID90894854","alpha-Methyl-p-(methylthio)phenethylamine",181.3
"850352-53-3","DTXSID301014192","Naphyrone",281.399
"1373876-11-9","DTXSID401046437","[1-(Cyclohexylmethyl)-1H-indol-3-yl](1-naphthyl)methanone",367.492
"59-26-7","DTXSID9046524","N,N-Diethylnicotinamide",178.235
"2042201-16-9","DTXSID201009986","1-Naphthalenyl 1-(5-fluoropentyl)-1H-indole-3-carboxylate",375.443
"1338925-11-3","DTXSID50716467","N-(Naphthalen-1-yl)-1-pentyl-1H-indole-3-carboxamide",356.469
"1445580-60-8","DTXSID901032710","1-(5-Fluoropentyl)-N-1-naphthalenyl-1H-indole-3-carboxamide",374.459
"1445579-61-2","DTXSID601043089","8-Quinolinyl 1-pentyl-1H-indazole-3-carboxylate",359.429
"1445579-79-2","DTXSID501016920","Quinolin-8-yl 1-(5-fluoropentyl)-1H-indazole-3-carboxylate",377.419
"104-14-3","DTXSID7043873","Octopamine",153.181
"868273-06-7","DTXSID00660764","5-Chloro-3-ethyl-N-[2-[4-(1-piperidinyl)phenyl]ethyl]-1H-indole-2-carboxamide",409.96
"76-42-6","DTXSID5023407","Oxycodone",315.369
"76-41-5","DTXSID5023409","(-)-Oxymorphone",301.342
"4697-66-9",NA,NA,NA
"1400742-17-7","DTXSID70856177","Quinolin-8-yl 1-pentyl-1H-indole-3-carboxylate",358.441
"1400742-41-7","DTXSID60857138","Quinolin-8-yl 2-fluoro-1-pentyl-1H-indole-3-carboxylate",376.431
"2219332-48-4","DTXSID901032641","5-Fluoro-PCN",375.447
"2152-34-3","DTXSID3023427","Pemoline",176.175
"359-83-1","DTXSID7023433","2,6-Methano-3-benzazocin-8-ol, 1,2,3,4,5,6-hexahydro-6,11-dimethyl-3-(3-methyl-2-buten-1-yl)-, (2R,6R)-",285.431
"879669-95-1","DTXSID901355918","Pentedrone hydrochloride",227.73
"698963-77-8","DTXSID401014183","Pentylone",235.283
"77-10-1","DTXSID6023446","Phencyclidine",243.394
"634-03-7","DTXSID1023447","Phendimetrazine",191.274
"134-49-6","DTXSID5023455","Phenmetrazine",177.247
"370-14-9","DTXSID70861908","4-[2-(Methylamino)propyl]phenol",165.236
"15532-75-9","DTXSID10165876","1-[3-(Trifluoromethyl)phenyl]-piperazine",230.234
"303-26-4","DTXSID00891490","Norchlorcyclizine",286.8
"32231-06-4","DTXSID70185994","1-Piperonylpiperazine",220.272
"39512-50-0","DTXSID2057734","1-(2-Chlorophenyl)piperazine",196.68
"64-13-1","DTXSID7040578","4-Methoxyamphetamine",165.236
"19134-50-0","DTXSID50897462","1-Phenyl-2-(1-pyrrolidinyl)-1-propanone",203.285
"493-92-5","DTXSID70862031","1-(1-Phenyl-2-pentanyl)pyrrolidine",217.356
"520-53-6","DTXSID5048899","Psilocin",204.273
"14530-33-7","DTXSID70456954","alpha-Pyrrolidinopentiophenone",231.339
"2221100-71-4","DTXSID101016916","N-[(1S)-2-Amino-2-oxo-1-(phenylmethyl)ethyl]-1-(5-fluoropentyl)-1H-indole-3-carboxamide",395.478
"80226-62-6","DTXSID10880097","N-Sulfocarbamoylgonyautoxin 3",475.4
"1345966-78-0","DTXSID70158820","RCS 4",321.42
"1345966-76-8","DTXSID801342665","(2-Methoxyphenyl)(1-pentyl-1H-indol-3-yl)methanone",321.42
"1345970-42-4","DTXSID30158821","RCS 8",375.512
"695213-59-3","DTXSID501009997","1-Pentyl-N-(phenylmethyl)-1H-indole-3-carboxamide",320.436
"1430634-87-9","DTXSID601010032","SDB-005",358.441
"776086-02-2",NA,NA,NA
"1354631-26-7","DTXSID40725427","STS 135",382.523
"1972-08-3","DTXSID6021327","(-)-trans-Tetrahydrocannabinol",314.469
"36557-05-8","DTXSID50190061","11-Hydroxytetrahydrocannabinol",330.468
"466-90-0","DTXSID90891944","Thebacon",341.407
"1364933-55-0","DTXSID901010031","THJ 018",342.442
"1801552-01-1","DTXSID901010029","THJ 2201",360.432
"1082-23-1","DTXSID60874365","2,3,4-Trimethoxyamphetamine",225.288
"1199943-44-6","DTXSID60152635","(1-Pentyl-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",311.469
"92623-83-1","DTXSID2046127","Pravadoline",378.472
"131543-22-1","DTXSID40894849","(R)-(+)-Win 55212-2",426.516
"1364933-54-9","DTXSID00159825","[1-(5-Fluoropentyl)-1H-indol-3-yl](2,2,3,3-tetramethylcyclopropyl)methanone",329.459
"895155-78-9","DTXSID201024738","(2,2,3,3-tetramethylcyclopropyl)[1-(4,4,4-trifluorobutyl)-1H-indol-3-yl]methanone",351.413
"111295-09-1","DTXSID00436244","2-Oxo-3-hydroxy-LSD",355.438
"519-09-5","DTXSID7046758","Benzoylecgonine",289.331
"529-38-4","DTXSID20873213","Cocaethylene",317.385
"61585-22-6","DTXSID50977172","Methyl 3-(benzoyloxy)-8-azabicyclo[3.2.1]octane-2-carboxylate--hydrogen chloride (1/1)",325.79
"125-28-0","DTXSID5022936","Dihydrocodeine",301.386
"467-15-2","DTXSID8046327","Norcodeine",285.343
"30223-73-5","DTXSID10880951","2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine",277.411
"136765-34-9","DTXSID10894098","(N-methyl-D3)-Ecgonine methyl ester",202.268
"37577-28-9","DTXSID301313960","(+)-Phenylpropanolamine",151.209
"17479-19-5","DTXSID3046322","Dihydroergocristine",611.743
"62559-65-3","DTXSID30480038","2H-1-Benzopyran, 4-[[(4-chlorophenyl)sulfonyl]methyl]-",320.79
"15398-87-5","DTXSID90934885","4-[2-(Methylamino)propyl]benzene-1,2-diol",181.235
"117652-28-5","DTXSID70922503","2-Methoxy-4-[2-(methylamino)propyl]phenol",195.262
"1427325-49-2","DTXSID901016891","(6-methoxy-1-pentyl-1H-indol-3-yl)(naphthalen-1-yl)methanone",371.48
"1427325-32-3","DTXSID301017815","JWH-018 2-hydroxyindole metabolite",357.453
"1307803-42-4","DTXSID801016931","(4-Hydroxy-1-pentyl-1H-indol-3-yl)(naphthalen-1-yl)methanone",357.453
"1307803-43-5","DTXSID501016932","JWH 018 5-Hydroxyindole metabolite",357.453
"1307803-44-6","DTXSID901017770","JWH-018 6-Hydroxyindole metabolite",357.453
"1307803-45-7","DTXSID601017771","JWH-018 7-Hydroxyindole metabolite",357.453
"1320363-47-0","DTXSID301016893","JWH-018 N-(4-hydroxypentyl)",357.453
"335161-21-2","DTXSID401016539","JWH-018 N-(5-Hydroxypentyl)",357.453
"1254475-87-0","DTXSID001016375","JWH-018 N-Pentanoic acid metabolite",371.436
"1427325-61-8","DTXSID201016557","(1-Butyl-1H-indol-3-yl)(2-methylnaphthalen-1-yl)methanone",341.454
"1354631-21-2","DTXSID601017183","(1-Butyl-1H-indol-3-yl)(4-methyl-1-naphthalenyl)methanone",341.454
"1427325-54-9","DTXSID901017732","JWH-073 2-hydroxyindole metabolite",343.426
"1320363-48-1","DTXSID801016929","JWH-073 N-(3-Hydroxybutyl)",343.426
"335161-14-3","DTXSID201016345","JWH-073 N-(4-Hydroxybutyl)",343.426
"1307803-46-8","DTXSID201017731","JWH-073 4-Hydroxyindole metabolite",343.426
"1307803-47-9","DTXSID501017730","JWH-073 5-Hydroxyindole metabolite",343.426
"1307803-48-0","DTXSID201017729","JWH 073 6-Hydroxyindole metabolite",343.426
"1307803-49-1","DTXSID501017728","JWH 073 7-hydroxyindole metabolite",343.426
"1307803-52-6","DTXSID401016341","JWH-073 Butanoic Acid",357.409
"1354631-24-5","DTXSID20159387","MAM-2201",373.471
"1379604-68-8","DTXSID001017816","JWH-122 N-(5-hydroxypentyl) metabolite",371.48
"1427325-73-2","DTXSID501017859","JWH 200 4-hydroxyindole metabolite",400.478
"2126-78-5","DTXSID30858950","N,N-Diethylisolysergamide",323.44
"35779-43-2","DTXSID80189307","N-Demethyllysergic acid diethylamide",309.413
"1863066-03-8","DTXSID001017185","N-[[1-(Cyclohexylmethyl)-1H-indazol-3-yl]carbonyl]valine methyl ester",371.481
"2784-73-8","DTXSID60182154","6-O-Monoacetylmorphine",327.38
"467-85-6","DTXSID6057748","Normethadone",295.426
"20290-09-9","DTXSID80174157","Morphine-3-beta-glucuronide",461.467
"50444-03-6","DTXSID30964686","3-Methoxy-7,8-didehydro-4,5-epoxymorphinan-6-yl hexopyranosiduronic acid",461.467
"509-60-4","DTXSID7048908","Dihydromorphine",287.359
"76-58-4","DTXSID1046760","Ethylmorphine",313.397
"466-97-7","DTXSID1049019","Normorphine",271.316
"57664-96-7","DTXSID60973261","Noroxycodone",301.342
"1427521-39-8","DTXSID501018152","5-[3-(4-Methoxybenzoyl)-1H-indol-1-yl]pentanoic acid",351.402
"1379604-66-6","DTXSID601043065","[1-(5-Hydroxypentyl)-1H-indol-3-yl](4-methoxyphenyl)methanone",337.419
"19395-41-6","DTXSID20864888","Ritalinic acid",219.284
"56354-06-4","DTXSID20204907","11-Nor-9-carboxy-delta-9-tetrahydrocannabinol",344.451
"83329-89-9","DTXSID00892447","Potassium 11-chloroeicosafluoro-3-oxaundecane-1-sulfonate",670.68
"39108-34-4","DTXSID00192353","8:2 Fluorotelomer sulfonic acid",528.18
"57678-03-2","DTXSID60874027","2-(Perfluorooctyl)ethyl dihydrogen phosphate",544.101
"757124-72-4","DTXSID30891564","4:2 Fluorotelomer sulfonic acid",328.15
"27619-97-2","DTXSID6067331","6:2 Fluorotelomer sulfonic acid",428.16
"57678-01-0","DTXSID90558000","6:2 Fluorotelomer phosphate monoester",444.085
"24015-83-6","DTXSID10517598","7:2 sFluorotelomer alcohol",414.114
"4225-26-7","DTXSID90891505","2-(4-Morpholinyl)benzothiazole",220.29
"15214-89-8","DTXSID5027770","2-Acrylamido-2-methyl-1-propanesulfonic acid",207.24
"941-57-1","DTXSID80240528","Benzothiazole-2-sulfonic acid",215.24
"70887-84-2","DTXSID60825615","2H-Perfluoro-2-decenoic acid",458.098
"70887-94-4","DTXSID70895723","2H-Perfluoro-2-dodecenoate",558.114
"70887-88-6","DTXSID00892326","3-(Perfluoropentyl)-3-fluoro-2-propenoic acid",358.083
"102-77-2","DTXSID0021096","N-Oxydiethylene-2-benzothiazylsulfenamide",252.35
"26530-20-1","DTXSID1025805","2-n-Octyl-4-isothiazolin-3-one",213.34
"934-34-9","DTXSID6061315","Benzothiazolone",151.18
"2043-47-2","DTXSID1062122","Fluorotelomer alcohol 4:2",264.091
"53826-13-4","DTXSID40892325","2-(Perfluorodecyl)ethanoic acid",578.12
"865-86-1","DTXSID2029905","Fluorotelomer alcohol 10:2",564.137
"53826-12-3","DTXSID50472556","2-(Perfluorohexyl)ethanoic acid",378.089
"647-42-7","DTXSID5044572","Fluorotelomer alcohol 6:2",364.106
"27854-31-5","DTXSID50451109","2-(Perfluorooctyl)ethanoic acid",478.105
"678-39-7","DTXSID7029904","Fluorotelomer alcohol 8:2",464.122
"87977-28-4","DTXSID50432872","3-Iodoprop-1-ynyl N-butylcarbamate",281.093
"812-70-4","DTXSID90382620","3-(Perfluoroheptyl)propanoic acid",442.124
"914637-49-3","DTXSID20874028","2H,2H,3H,3H-Perfluorooctanoic acid",342.108
"356-02-5","DTXSID00379268","3:3 Fluorotelomer carboxylic acid",242.093
"122-80-5","DTXSID7024455","4-Aminoacetanilide",150.181
"2835-68-9","DTXSID7038814","4-Aminobenzamide",136.154
"119-79-9","DTXSID6059497","2-Naphthalenesulfonic acid, 5-amino-",223.25
"94-97-3","DTXSID0047450","5-Chlorobenzotriazole",153.57
"73606-19-6","DTXSID60881236","Potassium 9-chlorohexadecafluoro-3-oxanonane-1-sulfonate",570.67
"98-67-9","DTXSID1046421","4-Hydroxyphenylsulfonic acid",174.17
"98-11-3","DTXSID9024568","Benzenesulfonic acid",158.17
"95-16-9","DTXSID7024586","Benzothiazole",135.18
"136-95-8","DTXSID1024467","2-Aminobenzothiazole",150.2
"19952-47-7","DTXSID0024470","4-Chlorobenzothiazol-2-ylamine",184.64
"95-24-9","DTXSID4059120","2-Benzothiazolamine, 6-chloro-",184.64
"615-22-5","DTXSID70274236","2-(Methylthio)benzothiazole",181.27
"149-30-4","DTXSID1020807","2-Mercaptobenzothiazole",167.24
"95-14-7","DTXSID6020147","1H-Benzotriazole",119.127
"29385-43-1","DTXSID0026171","Tolyltriazole",NA
"40150-21-8","DTXSID101340244","1-Hydroxybenzotriazole sodium salt",158.116
"26725-51-9","DTXSID90374722","4-Hydroxy-1H-benzotriazole",135.126
"136-85-6","DTXSID1038743","5-Methyl-1H-benzotriazole",133.154
"29878-31-7","DTXSID50274037","4-Methyl-1,2,3-benzotriazole",133.154
"4184-79-6","DTXSID70881186","5,6-Dimethyl-1H-benzotriazole",147.181
"60932-58-3","DTXSID701059493","Carboxybenzotriazole",NA
"21548-49-2","DTXSID80944155","4-Methyl-1,3-dithiolan-2-one",134.21
"678-41-1","DTXSID90218051","Bis(2-(perfluorooctyl)ethyl) hydrogen phosphate",990.207
"57677-95-9","DTXSID50561590","Bis(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl) hydrogen phosphate",790.176
"40143-79-1","DTXSID80543001","Bis(heptadecafluorooctyl)phosphinic acid",902.101
